gene_id	gene_symbol	length
ENSG00000223972	DDX11L1	1756
ENSG00000227232	WASH7P	2073
ENSG00000243485	MIR1302-10	1021
ENSG00000237613	FAM138A	1219
ENSG00000268020	OR4G4P	947
ENSG00000240361	OR4G11P	940
ENSG00000186092	OR4F5	918
ENSG00000238009	RP11-34P13.7	3569
ENSG00000239945	RP11-34P13.8	1319
ENSG00000233750	CICP27	3812
ENSG00000237683	AL627309.1	2661
ENSG00000268903	RP11-34P13.15	755
ENSG00000269981	RP11-34P13.16	284
ENSG00000239906	RP11-34P13.14	323
ENSG00000241860	RP11-34P13.13	6195
ENSG00000222623	RNU6-1100P	104
ENSG00000241599	RP11-34P13.9	457
ENSG00000228463	AP006222.2	3954
ENSG00000241670	AP006222.1	484
ENSG00000237094	RP4-669L17.10	6869
ENSG00000250575	RP4-669L17.8	1239
ENSG00000233653	CICP7	2477
ENSG00000224813	RP4-669L17.4	180
ENSG00000235249	OR4F29	995
ENSG00000269732	WBP1LP7	363
ENSG00000256186	AL732372.1	90
ENSG00000236601	RP4-669L17.2	635
ENSG00000236743	RP5-857K21.15	676
ENSG00000236679	RP4-669L17.1	385
ENSG00000231709	RP5-857K21.1	842
ENSG00000235146	RP5-857K21.2	635
ENSG00000239664	RP5-857K21.3	639
ENSG00000230021	RP5-857K21.4	1697
ENSG00000223659	RP5-857K21.5	802
ENSG00000225972	MTND1P23	372
ENSG00000225630	MTND2P28	1044
ENSG00000237973	hsa-mir-6723	1543
ENSG00000229344	RP5-857K21.7	682
ENSG00000240409	MTATP8P1	207
ENSG00000248527	MTATP6P1	681
ENSG00000198744	RP5-857K21.11	547
ENSG00000268663	WBP1LP6	424
ENSG00000185097	OR4F16	995
ENSG00000229376	CICP3	2455
ENSG00000224956	RP11-206L10.1	1236
ENSG00000235373	RP11-206L10.3	4860
ENSG00000223181	RNU6-1199P	104
ENSG00000240618	RP11-206L10.5	295
ENSG00000229905	RP11-206L10.4	456
ENSG00000228327	RP11-206L10.2	1317
ENSG00000237491	RP11-206L10.9	5517
ENSG00000230092	RP11-206L10.8	523
ENSG00000269831	AL669831.1	129
ENSG00000240453	RP11-206L10.10	402
ENSG00000177757	FAM87B	1944
ENSG00000225880	LINC00115	1317
ENSG00000228794	LINC01128	8525
ENSG00000230368	FAM41C	1971
ENSG00000234711	TUBB8P11	1058
ENSG00000269308	AL645608.2	57
ENSG00000272438	RP11-54O7.16	351
ENSG00000230699	RP11-54O7.1	3043
ENSG00000241180	RP11-54O7.2	443
ENSG00000223764	RP11-54O7.3	4152
ENSG00000187634	SAMD11	3205
ENSG00000268179	AL645608.1	336
ENSG00000188976	NOC2L	5539
ENSG00000187961	KLHL17	3395
ENSG00000187583	PLEKHN1	2833
ENSG00000187642	C1orf170	3081
ENSG00000272512	RP11-54O7.17	2086
ENSG00000188290	HES4	1118
ENSG00000231702	RP11-54O7.10	154
ENSG00000224969	RP11-54O7.11	471
ENSG00000187608	ISG15	711
ENSG00000188157	AGRN	10756
ENSG00000242590	RP11-54O7.14	402
ENSG00000217801	RP11-465B22.3	2171
ENSG00000273443	RP11-54O7.18	829
ENSG00000237330	RNF223	1902
ENSG00000131591	C1orf159	6322
ENSG00000223823	RP11-465B22.5	1620
ENSG00000207730	MIR200B	95
ENSG00000207607	MIR200A	90
ENSG00000198976	MIR429	83
ENSG00000272141	RP11-465B22.8	987
ENSG00000205231	TTLL10-AS1	3532
ENSG00000162571	TTLL10	3943
ENSG00000186891	TNFRSF18	1370
ENSG00000186827	TNFRSF4	1721
ENSG00000078808	SDF4	4709
ENSG00000176022	B3GALT6	2793
ENSG00000184163	FAM132A	1794
ENSG00000260179	RP5-902P8.12	1558
ENSG00000160087	UBE2J2	4712
ENSG00000230415	RP5-902P8.10	513
ENSG00000162572	SCNN1D	4025
ENSG00000131584	ACAP3	8809
ENSG00000169972	PUSL1	2489
ENSG00000127054	CPSF3L	8220
ENSG00000240731	RP5-890O3.9	386
ENSG00000224051	GLTPD1	2556
ENSG00000169962	TAS1R3	3433
ENSG00000107404	DVL1	3486
ENSG00000162576	MXRA8	3371
ENSG00000175756	AURKAIP1	1669
ENSG00000223663	RP5-890O3.3	367
ENSG00000221978	CCNL2	6835
ENSG00000224870	RP4-758J18.2	2525
ENSG00000242485	MRPL20	2788
ENSG00000264293	RN7SL657P	292
ENSG00000272455	RP4-758J18.13	1523
ENSG00000235098	ANKRD65	2644
ENSG00000225905	RP4-758J18.7	543
ENSG00000205116	TMEM88B	492
ENSG00000225285	RP4-758J18.10	851
ENSG00000179403	VWA1	5065
ENSG00000215915	ATAD3C	3976
ENSG00000160072	ATAD3B	7748
ENSG00000197785	ATAD3A	3069
ENSG00000205090	TMEM240	752
ENSG00000160075	SSU72	5428
ENSG00000215791	AL645728.2	2178
ENSG00000215014	AL645728.1	1019
ENSG00000236684	AL645728.3	243
ENSG00000228594	C1orf233	2085
ENSG00000272106	RP11-345P4.9	2038
ENSG00000197530	MIB2	8767
ENSG00000189409	MMP23B	2273
ENSG00000248333	CDK11B	3130
ENSG00000272004	RP11-345P4.10	400
ENSG00000189339	SLC35E2B	7790
ENSG00000269737	RP11-345P4.7	1422
ENSG00000269227	RP11-345P4.6	502
ENSG00000215914	MMP23A	1124
ENSG00000008128	CDK11A	4707
ENSG00000268575	RP1-283E3.8	5079
ENSG00000227775	RP1-283E3.4	2759
ENSG00000215790	SLC35E2	2504
ENSG00000008130	NADK	5637
ENSG00000078369	GNB1	6351
ENSG00000231050	RP1-140A9.1	906
ENSG00000169885	CALML6	2321
ENSG00000178821	TMEM52	1594
ENSG00000142609	C1orf222	10416
ENSG00000233542	RP11-547D24.1	1954
ENSG00000187730	GABRD	1913
ENSG00000226969	RP11-547D24.3	538
ENSG00000067606	PRKCZ	7636
ENSG00000271806	RP5-892K4.1	4196
ENSG00000182873	RP11-181G12.2	2596
ENSG00000162585	C1orf86	10712
ENSG00000269554	AL590822.2	1943
ENSG00000203301	AL590822.1	2261
ENSG00000243558	RP11-181G12.5	314
ENSG00000234396	RP11-181G12.4	326
ENSG00000157933	SKI	6080
ENSG00000116151	MORN1	8403
ENSG00000272161	RP4-713A8.1	493
ENSG00000269753	AL589739.1	462
ENSG00000269896	RP4-740C4.6	2407
ENSG00000238240	RP4-740C4.5	214
ENSG00000272420	RP4-740C4.7	568
ENSG00000271921	RP4-740C4.9	501
ENSG00000271847	RP4-740C4.8	744
ENSG00000178642	AL513477.1	3110
ENSG00000157916	RER1	5638
ENSG00000157911	PEX10	2961
ENSG00000149527	PLCH2	10781
ENSG00000224387	RP3-395M20.2	455
ENSG00000229393	RP3-395M20.3	514
ENSG00000157881	PANK4	5079
ENSG00000197921	HES5	1306
ENSG00000272449	RP3-395M20.12	996
ENSG00000238164	RP3-395M20.8	6137
ENSG00000157873	TNFRSF14	6219
ENSG00000225931	RP3-395M20.7	1297
ENSG00000228037	RP3-395M20.9	626
ENSG00000157870	FAM213B	3346
ENSG00000142606	MMEL1	3896
ENSG00000237058	RP13-436F16.1	373
ENSG00000215912	TTC34	5900
ENSG00000233234	RP11-740P5.2	607
ENSG00000231630	RP11-740P5.3	429
ENSG00000169717	ACTRT2	1420
ENSG00000177133	LINC00982	5600
ENSG00000256761	AL008733.1	435
ENSG00000142611	PRDM16	9770
ENSG00000226286	RP1-163G9.2	469
ENSG00000272235	RP11-22L13.1	3461
ENSG00000130762	ARHGEF16	5563
ENSG00000272088	RP11-168F9.2	382
ENSG00000162591	MEGF6	7039
ENSG00000207776	MIR551A	96
ENSG00000238260	RP11-46F15.2	622
ENSG00000158109	TPRG1L	2414
ENSG00000116213	WRAP73	7604
ENSG00000078900	TP73	6763
ENSG00000227589	RP5-1092A11.5	754
ENSG00000235131	RP5-1092A11.2	351
ENSG00000227372	TP73-AS1	6597
ENSG00000162592	CCDC27	2318
ENSG00000235169	SMIM1	954
ENSG00000130764	LRRC47	2854
ENSG00000266075	RN7SL574P	295
ENSG00000272153	RP1-286D6.5	531
ENSG00000116198	CEP104	7876
ENSG00000169598	DFFB	3856
ENSG00000264428	AL691523.1	70
ENSG00000198912	C1orf174	4388
ENSG00000236423	LINC01134	4064
ENSG00000233304	RP13-614K11.1	3571
ENSG00000226374	RP13-614K11.2	937
ENSG00000229280	RP11-374C13.1	372
ENSG00000235054	RP5-1166F10.1	2077
ENSG00000227169	RP1-37J18.1	356
ENSG00000232596	RP1-37J18.2	682
