id	rcd	symbol	hgncid	ensgstable	evidence	testin	pathway	confidence	experiments	caution	uniprotac	pmid	remark	latestupdate	datasource	uniformgenetype
1	Ferroptosis	RPL8	HGNC:10368	ENSG00000161016	Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.	Human	RPL8 :+: Ferroptosis	Validated	0	_NA_	P62917	22632970	_NA_	2020/12/31	FerrDb team	gene with protein product
2	Ferroptosis	IREB2	HGNC:6115	ENSG00000136381	Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.	Human	IREB2 :+: Ferroptosis	Validated	0	_NA_	P48200	22632970	_NA_	2020/12/31	FerrDb team	gene with protein product
3	Ferroptosis	ATP5MC3	HGNC:843	ENSG00000154518	Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.	Human	ATP5MC3 :+: Ferroptosis	Validated	0	_NA_	P48201	22632970	ATP5G3 in article	2020/12/31	FerrDb team	gene with protein product
4	Ferroptosis	CS	HGNC:2422	ENSG00000062485	Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.	Human	CS :+: Ferroptosis	Validated	0	_NA_	O75390	22632970	_NA_	2020/12/31	FerrDb team	gene with protein product
5	Ferroptosis	EMC2	HGNC:28963	ENSG00000104412	Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.	Human	EMC2 :+: Ferroptosis	Validated	0	_NA_	Q15006	22632970	TTC35 in article	2020/12/31	FerrDb team	gene with protein product
6	Ferroptosis	ACSF2	HGNC:26101	ENSG00000167107	Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.	Human	ACSF2 :+: Ferroptosis	Validated	0	_NA_	Q96CM8	22632970	_NA_	2020/12/31	FerrDb team	gene with protein product
7	Ferroptosis	NOX1	HGNC:7889	ENSG00000007952	Suppresses erastin-induced ferroptosis when inhibited by inhibitor.	Human	NOX1 :+: Ferroptosis	Deduced	0	The presented inhibition study is not sufficient to confirm its role in ferroptosis.	Q9Y5S8	22632970	_NA_	2020/12/31	FerrDb team	gene with protein product
8	Ferroptosis	CYBB	HGNC:2578	ENSG00000165168	Suppresses erastin-induced ferroptosis when inhibited by inhibitor.	Human	CYBB :+: Ferroptosis	Deduced	0	The presented inhibition study is not sufficient to confirm its role in ferroptosis.	P04839	22632970	NOX2 in article	2020/12/31	FerrDb team	gene with protein product
9	Ferroptosis	NOX3	HGNC:7890	ENSG00000074771	Suppresses erastin-induced ferroptosis when inhibited by inhibitor.	Human	NOX3 :+: Ferroptosis	Deduced	0	The presented inhibition study is not sufficient to confirm its role in ferroptosis.	Q9HBY0	22632970	_NA_	2020/12/31	FerrDb team	gene with protein product
10	Ferroptosis	NOX4	HGNC:7891	ENSG00000086991	Suppresses erastin-induced ferroptosis when inhibited by inhibitor.	Human	NOX4 :+: Ferroptosis	Deduced	0	The presented inhibition study is not sufficient to confirm its role in ferroptosis.	Q9NPH5	22632970	_NA_	2020/12/31	FerrDb team	gene with protein product
11	Ferroptosis	NOX5	HGNC:14874	ENSG00000255346	Suppresses erastin-induced ferroptosis when inhibited by inhibitor.	Human	NOX5 :+: Ferroptosis	Deduced	0	The presented inhibition study is not sufficient to confirm its role in ferroptosis.	Q96PH1	22632970	_NA_	2020/12/31	FerrDb team	gene with protein product
12	Ferroptosis	DUOX1	HGNC:3062	ENSG00000137857	Suppresses erastin-induced ferroptosis when inhibited by inhibitor.	Human	DUOX1 :+: Ferroptosis	Deduced	0	The presented inhibition study is not sufficient to confirm its role in ferroptosis.	Q9NRD9	22632970	_NA_	2020/12/31	FerrDb team	gene with protein product
13	Ferroptosis	DUOX2	HGNC:13273	ENSG00000140279	Suppresses erastin-induced ferroptosis when inhibited by inhibitor.	Human	DUOX2 :+: Ferroptosis	Deduced	0	The presented inhibition study is not sufficient to confirm its role in ferroptosis.	Q9NRD8	22632970	_NA_	2020/12/31	FerrDb team	gene with protein product
14	Ferroptosis	G6PD	HGNC:4057	ENSG00000160211	Required in erastin-induced ferroptosis.	Human	G6PD :+: Ferroptosis	Validated	0	_NA_	P11413	22632970	_NA_	2020/12/31	FerrDb team	gene with protein product
15	Ferroptosis	PGD	HGNC:8891	ENSG00000142657	Required in erastin-induced ferroptosis.	Human	PGD :+: Ferroptosis	Validated	0	_NA_	P52209	22632970	_NA_	2020/12/31	FerrDb team	gene with protein product
16	Ferroptosis	VDAC2	HGNC:12672	ENSG00000165637	Required in erastin-induced ferroptosis.	Human	VDAC2 :+: Ferroptosis	Validated	0	_NA_	P45880	22632970	_NA_	2020/12/31	FerrDb team	gene with protein product
17	Ferroptosis	PIK3CA	HGNC:8975	ENSG00000121879	Inhibitor blocked ferroptotic cell death.	Mice	PIK3CA :-: GSH, GSH :-: Lipid ROS, Lipid ROS :+: Ferroptosis	Validated	0	Also involved in necrosis and apoptosis.	P42336	24739485	PI3Kalpha in article	2020/12/31	FerrDb team	gene with protein product
18	Ferroptosis	FLT3	HGNC:3765	ENSG00000122025	Inhibitor blocked ferroptotic cell death.	Mice	FLT3 :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Validated	0	Also involved in necrosis and apoptosis.	P36888	24739485	_NA_	2020/12/31	FerrDb team	gene with protein product
19	Ferroptosis	SCP2	HGNC:10606	ENSG00000116171	SCP-2 inhibitors showed anti-ferroptotic activity, which was substantiated by knocking down SCP-2 in Gpx4−/− cells.	Mice	SCP2 :+: Ferroptosis	Validated	0	Transient effect. Other translocases may work in parallel.	P22307	25402683	_NA_	2020/12/31	FerrDb team	gene with protein product
20	Ferroptosis	TP53	HGNC:11998	ENSG00000141510	Inhibits cystine uptake and sensitizes cells to ferroptosis. Erastin induced high levels of cell death in p53+/+ MEFs.	Human, mice	TP53 :-: SLC7A11, SLC7A11 :+: Cystine, Cystine :-: Ferroptosis	Validated	0	The acetylation-defective mutant (p53[3KR]) also retains the ability to induce ferroptosis upon reactive oxygen species (ROS)-induced stress.	P04637	25799988	_NA_	2020/12/31	FerrDb team	gene with protein product
